Name,NRIC,Location,Status,Date & Time,
ss,s9911608j,Bedok Mall,Check in,17/06/21 18:32:45
,,Bedok Mall,Check in,17/06/21 18:32:45
,,Bedok Mall,Check in,17/06/21 18:32:45
,,Bedok Mall,Check in,17/06/21 18:32:45
,,Bedok Mall,Check in,17/06/21 18:32:45
ss,s9988987j,Vivo City,Check in,17/06/21 18:39:21
ssa,s9876787d,Vivo City,Check in,17/06/21 18:39:21
ssdf,s7673827b,Vivo City,Check in,17/06/21 18:39:21
,,Vivo City,Check in,17/06/21 18:39:21
,,Vivo City,Check in,17/06/21 18:39:21
SSA,S9894586H,Bedok Mall,Check in,17/06/21 18:42:49
SDSA,S8789438F,Bedok Mall,Check in,17/06/21 18:42:49
,,Bedok Mall,Check in,17/06/21 18:42:49
,,Bedok Mall,Check in,17/06/21 18:42:49
,,Bedok Mall,Check in,17/06/21 18:42:49
sas,s9873675d,Scape,Check in,17/06/21 18:44:17
ss,s9878768j,Scape,Check in,17/06/21 18:44:17
,,Scape,Check in,17/06/21 18:44:17
,,Scape,Check in,17/06/21 18:44:17
,,Scape,Check in,17/06/21 18:44:17
ss,s8787898h,Mustafa Centre,Check in,17/06/21 18:50:02
ssa,s8789876f,Mustafa Centre,Check in,17/06/21 18:50:02
,,Mustafa Centre,Check in,17/06/21 18:50:02
,,Mustafa Centre,Check in,17/06/21 18:50:02
,,Mustafa Centre,Check in,17/06/21 18:50:02
ss,s8787876h,Vivo City,Check in,17/06/21 18:53:29
ssa,s8787876g,Vivo City,Check in,17/06/21 18:53:29
,,Vivo City,Check in,17/06/21 18:53:29
,,Vivo City,Check in,17/06/21 18:53:29
,,Vivo City,Check in,17/06/21 18:53:29
ss,s8787867h,Bedok Mall,Check in,17/06/21 18:54:42
ssa,s8782787f,Bedok Mall,Check in,17/06/21 18:54:42
,,Bedok Mall,Check in,17/06/21 18:54:42
,,Bedok Mall,Check in,17/06/21 18:54:42
,,Bedok Mall,Check in,17/06/21 18:54:42
ssa,s8787677h,ION Orchard,Check in,17/06/21 18:59:45
ss,s8787676f,ION Orchard,Check in,17/06/21 18:59:45
,,ION Orchard,Check in,17/06/21 18:59:45
,,ION Orchard,Check in,17/06/21 18:59:45
,,ION Orchard,Check in,17/06/21 18:59:45
ss,s7676787h,NEX,Check in,17/06/21 19:00:55
ssa,s7878765g,NEX,Check in,17/06/21 19:00:55
,,NEX,Check in,17/06/21 19:00:55
,,NEX,Check in,17/06/21 19:00:55
,,NEX,Check in,17/06/21 19:00:55
ss,s8787876g,Bedok Mall,Check in,17/06/21 19:05:31
ssa,s7877865g,Bedok Mall,Check in,17/06/21 19:05:31
,,Bedok Mall,Check in,17/06/21 19:05:31
,,Bedok Mall,Check in,17/06/21 19:05:31
,,Bedok Mall,Check in,17/06/21 19:05:31
